x,y,z
-29.055492,1.0974946,2.7878642
-29.099384,1.1197276,2.805767
-29.138157,1.1192207,2.8020706
-29.174356,1.1059456,2.7862744
-29.21585,1.1192245,2.7960196
-29.255682,1.1247456,2.7984657
-29.29479,1.1267924,2.7977085
-29.333744,1.1282256,2.7964873
-29.373589,1.1354928,2.8009892
-29.412552,1.1378481,2.800902
-29.451162,1.1381538,2.7989664
-29.489473,1.1364071,2.7951798
-29.528086,1.1369119,2.7936769
-29.566772,1.1382346,2.7930813
-29.605598,1.1410937,2.794086
-29.6443,1.1433353,2.7946177
-29.683311,1.14927,2.7988272
-29.722162,1.154588,2.802565
-29.760523,1.1549752,2.8016734
-29.798925,1.1561806,2.8016891
-29.837307,1.1574845,2.80192
-29.875504,1.1560111,2.7995906
-29.914072,1.1618288,2.804412
-29.952665,1.1706233,2.8122258
-29.990738,1.1680071,2.8091502
-30.028833,1.1647685,2.805592
-30.067112,1.169543,2.809883
-30.105263,1.1686599,2.8088331
-30.143425,1.1649957,2.8052182
-30.181637,1.1621497,2.8025103
-30.219822,1.1644387,2.8048768
-30.258,1.1653869,2.806066
-30.296253,1.1635554,2.8046918
-30.334478,1.1632605,2.8049188
-30.372406,1.1695387,2.811605
-30.410666,1.1680012,2.8108687
-30.449219,1.1622479,2.8061862
-30.48751,1.161628,2.8065743
-30.52581,1.1611068,2.8071747
-30.564306,1.1585281,2.805914
-30.602438,1.1603606,2.80902
-30.64054,1.1622906,2.8123393
-30.679958,1.1521094,2.8041167
-30.718775,1.1484945,2.8023405
-30.756834,1.1514411,2.8069968
-30.794464,1.1573546,2.8146243
-30.8319,1.1640806,2.8231463
-30.873318,1.1436553,2.8057003
-30.91223,1.1412632,2.8057084
-30.950111,1.1454203,2.8121238
-28.65558,1.1047177,2.7956657
-28.692953,1.0973938,2.7840676
-28.735167,1.1064265,2.7882361
-28.777431,1.1162839,2.7933369
-28.816814,1.1163466,2.7891898
-28.860344,1.132102,2.8002267
-28.899591,1.1323824,2.7965517
-28.941135,1.1419897,2.8019667
-28.981665,1.1481619,2.8042154
-29.02076,1.148761,2.8012319
-29.06145,1.1565707,2.8053184
-29.102163,1.1652021,2.8103294
-29.142439,1.1725214,2.8142085
-29.180725,1.1706929,2.8093877
-29.220142,1.1746626,2.810287
-29.260153,1.1822999,2.8148556
-29.298391,1.1807749,2.8106933
-29.336168,1.1764953,2.8039832
-29.375391,1.1808763,2.8057742
-29.413774,1.1803627,2.8029475
-29.452475,1.1820908,2.8024125
-29.491146,1.1839199,2.802095
-29.530432,1.1908526,2.8068495
-29.569864,1.2000344,2.8139095
-29.608091,1.2000227,2.812172
-29.646393,1.200825,2.8113418
-29.6844,1.1988642,2.8079476
-29.722565,1.1984324,2.8061543
-29.76184,1.2117009,2.8177943
-29.80064,1.221493,2.8261786
-29.838438,1.2184951,2.822249
-29.876446,1.2184598,2.8213148
-29.914312,1.2156565,2.8178062
-29.95225,1.2136667,2.815205
-29.990314,1.2146404,2.8156037
-30.028471,1.2200115,2.820397
-30.066341,1.214015,2.8142476
-30.10434,1.211699,2.8117948
-30.142385,1.2173638,2.817226
-30.180326,1.2252765,2.8249602
-30.218256,1.2254033,2.8252354
-30.256165,1.2263436,2.8264184
-30.293993,1.2295315,2.829905
-30.332184,1.222069,2.8231454
-30.370161,1.2218692,2.8235688
-30.408413,1.2167532,2.8193274
-30.446972,1.2081554,2.8118196
-30.485264,1.2053866,2.8100996
-30.522646,1.2148888,2.820424
-30.560743,1.2144637,2.8212147
-30.599321,1.2091274,2.8173528
-30.637766,1.2060382,2.815793
-30.676338,1.2023332,2.8137565
-30.714462,1.2030199,2.8161006
-30.752579,1.2038045,2.8186584
-30.790874,1.2032583,2.820044
-30.829485,1.2006681,2.8195662
-30.868248,1.1974645,2.818615
-30.907515,1.1915076,2.8151202
-30.945332,1.1949303,2.820829
-30.98372,1.1948833,2.823297
-31.022242,1.1942232,2.8252912
-31.061728,1.1886761,2.8226852
-31.102293,1.1782496,2.815494
-31.142439,1.1707807,2.8112903
-31.179495,1.17836,2.8217287
-31.217543,1.1810544,2.827571
-31.25637,1.1802938,2.830203
-31.290798,1.1980989,2.8508224
-31.325298,1.2145636,2.8702478
-31.364248,1.2126677,2.8721328
-31.397444,1.2328467,2.8953304
-31.437052,1.2283096,2.8949137
-28.242771,1.1017528,2.7959328
-28.291636,1.1240711,2.811378
-28.32758,1.1130688,2.795125
-28.367535,1.1126227,2.7890902
-28.41576,1.1353402,2.805399
-28.458963,1.1449192,2.8092723
-28.50153,1.1532214,2.8120685
-28.542555,1.1574404,2.8110785
-28.582136,1.1575658,2.8062816
-28.626835,1.1739357,2.817276
-28.666924,1.1763911,2.8149977
-28.706543,1.1775489,2.8115935
-28.74655,1.1802187,2.8097796
-28.789116,1.1921468,2.8170567
-28.828955,1.1950381,2.815723
-28.870066,1.2029703,2.8194056
-28.909576,1.2053733,2.8178573
-28.945126,1.1923528,2.8014526
-28.984499,1.1942494,2.7996526
-29.024837,1.2004907,2.8022037
-29.0662,1.2117913,2.8098092
-29.1066,1.2196684,2.8142166
-29.145971,1.2234075,2.8147202
-29.185278,1.227251,2.8154516
-29.22618,1.2397032,2.82471
-29.265284,1.2437589,2.8259006
-29.306608,1.2606874,2.839795
-29.344986,1.2621171,2.8386712
-29.383451,1.2643566,2.8384595
-29.42254,1.2709587,2.8426366
-29.461205,1.275533,2.8449502
-29.499104,1.2752328,2.8426113
-29.53626,1.2693422,2.8349075
-29.57438,1.270659,2.834383
-29.612394,1.2713623,2.833374
-29.651077,1.2785702,2.8388653
-29.689291,1.2823198,2.8410816
-29.726542,1.2761998,2.833726
-29.764297,1.2751601,2.831472
-29.801752,1.2699432,2.8252282
-29.840137,1.277647,2.8317943
-29.877527,1.2704856,2.8238707
-29.916418,1.2912154,2.843474
-29.95381,1.2842486,2.8359709
-29.991385,1.2795155,2.8307772
-30.02918,1.280582,2.8314
-30.067099,1.2895889,2.8399472
-30.104801,1.2915633,2.8416924
-30.142458,1.2865045,2.836638
-30.180233,1.2758386,2.8261843
-30.218035,1.2752519,2.825757
-30.255846,1.2747622,2.8255396
-30.293575,1.2772214,2.8283372
-30.331102,1.2840548,2.8355503
-30.368286,1.2959726,2.8478742
-30.405941,1.2958694,2.848495
-30.444624,1.2794743,2.8332214
-30.48221,1.2824166,2.8370671
-30.520256,1.2790451,2.8348255
-30.557922,1.2807572,2.8376937
-30.594885,1.2896862,2.8477597
-30.63244,1.2915893,2.8510413
-30.670439,1.2893193,2.8503437
-30.708305,1.2885714,2.8512564
-30.746096,1.2886317,2.8530765
-30.784271,1.2859466,2.852323
-30.822796,1.2812288,2.8496966
-30.860645,1.2815852,2.8521605
-30.897697,1.2870107,2.8596992
-30.935617,1.2868507,2.861887
-30.98015,1.2491853,2.8275285
-31.018377,1.2492399,2.8301802
-31.05756,1.2444315,2.8282032
-31.097387,1.2368939,2.8236861
-31.135128,1.2400851,2.8297615
-31.175117,1.2327571,2.8256993
-31.213797,1.2319038,2.828073
-31.248219,1.2495313,2.8485527
-31.285423,1.2545214,2.8568377
-31.323078,1.2574878,2.8632693
-31.359238,1.266195,2.8753905
-31.395449,1.2742865,2.88702
-31.431534,1.2824678,2.8988461
-31.468287,1.2879217,2.908135
-31.50475,1.2941716,2.9183083
-31.539864,1.3047316,2.932756
-31.575026,1.3146737,2.9467096
-31.611137,1.3211908,2.9574609
-31.647602,1.326396,2.9670577
-31.68306,1.334497,2.9795523
-31.71792,1.3440855,2.9935837
-31.755547,1.3453636,2.9997344
-31.79241,1.3488379,3.0081115
-31.829224,1.3524072,3.016696
-31.86806,1.3504906,3.020143
-31.905342,1.3528616,3.0278182
-31.940968,1.3595083,3.0396953
-31.976217,1.3669398,3.0524287
-32.011074,1.375154,3.0660152
-32.058136,1.353606,3.051396
-27.809837,1.0846763,2.7866035
-27.861279,1.106103,2.7998166
-27.908255,1.1187818,2.8048658
-27.953775,1.1288574,2.8075967
-27.991478,1.1218882,2.7941484
-28.038,1.1349657,2.8000631
-28.081654,1.1419845,2.800321
-28.124027,1.1463711,2.7981968
-28.17059,1.161231,2.806313
-28.21217,1.1644847,2.8033948
-28.25533,1.172004,2.8047376
-28.297558,1.1775694,2.8043375
-28.340218,1.1846395,2.8055382
-28.38404,1.1952989,2.8103652
-28.426682,1.2033083,2.8127718
-28.469679,1.2128284,2.8167906
-28.511078,1.218298,2.8170142
-28.547928,1.2106535,2.8045955
-28.594507,1.232368,2.8209257
-28.634256,1.2339988,2.817812
-28.672884,1.2322462,2.8115187
-28.71323,1.2361827,2.8109121
-28.753716,1.2409282,2.8112278
-28.794117,1.2457836,2.811782
-28.835413,1.2542498,2.8160095
-28.876945,1.2642314,2.8218598
-28.919968,1.2806385,2.8341627
-28.959688,1.2852426,2.835003
-29.000366,1.2941661,2.8402224
-29.03939,1.2968795,2.8394566
-29.078205,1.2989941,2.838223
-29.117449,1.3033202,2.839292
-29.157217,1.3105664,2.843367
-29.197008,1.3186238,2.848371
-29.235,1.3183362,2.8452535
-29.271664,1.3110998,2.8353825
-29.309458,1.3095961,2.8312907
-29.34861,1.3159492,2.8350916
-29.387655,1.3224068,2.83912
-29.4256,1.3226137,2.8370748
-29.464165,1.3271568,2.8394456
-29.502949,1.333921,2.8441377
-29.541342,1.3386676,2.8469486
-29.577557,1.3265464,2.8331347
-29.617067,1.3413899,2.8462024
-29.654285,1.337239,2.840527
-29.6922,1.3395512,2.8413854
-29.730267,1.3440852,2.8445673
-29.768318,1.349426,2.8486671
-29.805855,1.3492014,2.8473487
-29.843582,1.3519063,2.8490582
-29.88085,1.3476253,2.8439317
-29.918684,1.3533578,2.8488803
-29.956305,1.356354,2.8512216
-29.993923,1.3608644,2.8551831
-30.031357,1.3612201,2.855123
-30.068796,1.3623807,2.855977
